fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
5.6,0.26,0.26,5.7,0.031,12,80,0.9923,3.25,0.38,10.8,5
6.3,0.23,0.3,1.8,0.033,16,91,0.9906,3.28,0.4,11.8,6
5.2,0.155,0.33,1.6,0.028,13,59,0.98975,3.3,0.84,11.9,8
6.5,0.27,0.19,4.2,0.046,6,114,0.9955,3.25,0.35,8.6,4
5.9,0.26,0.4,1.3,0.047,12,139,0.9945,3.45,0.53,10.4,5
6.6,0.18,0.35,1.5,0.049,49,141,0.9934,3.43,0.85,10.2,7
7.4,0.2,0.43,7.8,0.045,27,153,0.9964,3.19,0.55,9,7
8,0.24,0.36,1.5,0.047,17,129,0.9948,3.2,0.54,10,6
6.4,0.26,0.42,9.7,0.044,30,140,0.9962,3.18,0.47,9.1,6
5.4,0.31,0.47,3,0.053,46,144,0.9931,3.29,0.76,10,5
5.4,0.29,0.47,3,0.052,47,145,0.993,3.29,0.75,10,6
7.1,0.145,0.33,4.6,0.05,33,131,0.9942,3.28,0.4,9.6,6
5.6,0.34,0.1,1.3,0.031,20,68,0.9906,3.36,0.51,11.2,7
6.7,0.19,0.41,15.6,0.056,75,155,0.9995,3.2,0.44,8.8,6
7.8,0.18,0.46,13.6,0.052,38,118,0.998,3.15,0.5,10,6
7.6,0.17,0.45,11.2,0.054,56,137,0.997,3.15,0.47,10,5
6.3,0.12,0.36,2.1,0.044,47,146,0.9914,3.27,0.74,11.4,7
7.3,0.33,0.4,6.85,0.038,32,138,0.992,3.03,0.3,11.9,7
6.7,0.54,0.27,7.1,0.049,8,178,0.99502,3.16,0.38,9.4,4
7.3,0.33,0.4,6.85,0.038,32,138,0.992,3.03,0.3,11.9,7
5.8,0.4,0.42,4.4,0.047,38.5,245,0.9937,3.25,0.57,9.6,6
7,0.61,0.26,1.7,0.051,25,161,0.9946,3.36,0.6,10.6,4
7.1,0.27,0.28,1.25,0.023,3,89,0.98993,2.95,0.3,11.4,4
6.1,0.36,0.33,1.1,0.05,24,169,0.9927,3.15,0.78,9.5,6
10,0.2,0.39,1.4,0.05,19,152,0.994,3,0.42,10.4,6
7.1,0.23,0.24,5.4,0.039,60,196,0.9948,3.19,0.78,10,4
8.6,0.34,0.36,1.4,0.045,11,119,0.99556,3.17,0.47,9.4,4
7.1,0.365,0.14,1.2,0.055,24,84,0.9941,3.15,0.43,8.9,5
6.8,0.15,0.3,5.3,0.05,40,127,0.9942,3.4,0.39,9.7,6
6.7,0.31,0.31,9.9,0.04,10,175,0.9953,3.46,0.55,11.4,4
6.8,0.16,0.4,2.3,0.037,18,102,0.9923,3.49,0.42,11.4,7
6,0.26,0.32,3.5,0.028,29,113,0.9912,3.4,0.71,12.3,7
5.5,0.15,0.32,14,0.031,16,99,0.99437,3.26,0.38,11.5,8
7.2,0.4,0.62,10.8,0.041,70,189,0.9976,3.08,0.49,8.6,4
8.4,0.29,0.29,1.05,0.032,4,55,0.9908,2.91,0.32,11.4,4
6.3,0.41,0.18,3.5,0.027,23,109,0.99018,3.34,0.54,12.8,8
6.9,0.33,0.21,1,0.053,39,148,0.9927,3.12,0.45,9.4,6
7.6,0.56,0.12,10.4,0.096,22,177,0.9983,3.32,0.45,9.1,4
7.2,0.615,0.1,1.4,0.068,25,154,0.99499,3.2,0.48,9.7,4
7.2,0.27,0.27,2.4,0.048,30,149,0.9936,3.1,0.51,9.2,6
5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7
5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7
6.4,0.31,0.28,1.5,0.037,12,119,0.9919,3.32,0.51,10.4,7
7.3,0.2,0.44,1.4,0.045,21,98,0.9924,3.15,0.46,10,7
6.1,0.32,0.37,1.8,0.051,13,200,0.9945,3.49,0.44,10.5,4
6.4,0.31,0.28,1.5,0.037,12,119,0.9919,3.32,0.51,10.4,7
7.3,0.2,0.44,1.4,0.045,21,98,0.9924,3.15,0.46,10,7
6.1,0.28,0.25,12.9,0.054,34,189,0.9979,3.25,0.43,9,4
5.4,0.53,0.16,2.7,0.036,34,128,0.98856,3.2,0.53,13.2,8
7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,8
6,0.36,0.39,3.2,0.027,20,125,0.991,3.38,0.39,11.3,7
5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7
5,0.17,0.56,1.5,0.026,24,115,0.9906,3.48,0.39,10.8,7
7.6,0.31,0.23,12.7,0.054,20,139,0.99836,3.16,0.5,9.7,4
6.5,0.33,0.72,1.1,0.061,7,151,0.993,3.09,0.57,9.5,4
7,0.3,0.38,14.9,0.032,60,181,0.9983,3.18,0.61,9.3,7
7,0.3,0.38,14.9,0.032,60,181,0.9983,3.18,0.61,9.3,7
6.5,0.36,0.32,1.1,0.031,13,66,0.9916,3.1,0.46,10.6,5
7,0.36,0.32,10.05,0.045,37,131,0.99352,3.09,0.33,11.7,8
7.3,0.24,0.43,2,0.021,20,69,0.99,3.08,0.56,12.2,6
6.8,0.37,0.28,1.9,0.024,64,106,0.98993,3.45,0.6,12.6,8
6.8,0.27,0.12,1.3,0.04,87,168,0.992,3.18,0.41,10,5
6.4,0.35,0.35,5.6,0.034,9,148,0.99441,3.17,0.5,9.8,4
6.3,0.2,0.4,1.5,0.037,35,107,0.9917,3.46,0.5,11.4,6
5.9,0.26,0.27,18.2,0.048,52,168,0.9993,3.35,0.44,9.4,5
6.4,0.19,0.42,2.9,0.032,32,83,0.9908,3.3,0.41,11.7,6
6.3,0.2,0.4,1.5,0.037,35,107,0.9917,3.46,0.5,11.4,6
7.1,0.26,0.31,2.2,0.044,29,128,0.9937,3.34,0.64,10.9,8
7.4,0.4,0.29,5.4,0.044,31,122,0.994,3.3,0.5,11.1,8
6.5,0.44,0.47,5.45,0.014,44,137,0.98984,3.13,0.32,13,8
6.8,0.29,0.16,1.4,0.038,122.5,234.5,0.9922,3.15,0.47,10,4
6.9,0.3,0.33,4.1,0.035,26,155,0.9925,3.25,0.79,12.3,8
5.8,0.28,0.34,4,0.031,40,99,0.9896,3.39,0.39,12.8,7
6.9,0.49,0.24,1.2,0.049,13,125,0.9932,3.17,0.51,9.4,5
7.2,0.5,0,0.8,0.034,46,114,0.9932,3.19,0.34,9.2,4
8.2,0.28,0.42,1.8,0.031,30,93,0.9917,3.09,0.39,11.4,5
5.8,0.315,0.27,1.55,0.026,15,70,0.98994,3.37,0.4,11.9,8
7.3,0.28,0.36,12.7,0.04,38,140,0.998,3.3,0.79,9.6,6
7.2,0.19,0.39,1.2,0.036,32,85,0.9918,3.16,0.5,10.5,5
5.2,0.285,0.29,5.15,0.035,64,138,0.9895,3.19,0.34,12.4,8
7.8,0.29,0.36,7,0.042,38,161,0.9941,3.26,0.37,11.2,8
7.3,0.28,0.36,12.7,0.04,38,140,0.998,3.3,0.79,9.6,6
7.4,0.21,0.27,1.2,0.041,27,99,0.9927,3.19,0.33,9.8,6
6.8,0.26,0.22,7.7,0.047,57,210,0.9959,3.1,0.47,9,5
8.2,0.22,0.36,6.8,0.034,12,90,0.9944,3.01,0.38,10.5,8
6.9,0.2,0.34,1.9,0.043,25,136,0.9935,3.31,0.6,10.1,4
7,0.22,0.31,2.7,0.03,41,136,0.9898,3.16,0.37,12.7,7
7,0.21,0.28,8.7,0.045,37,222,0.9954,3.25,0.54,10.4,6
6.8,0.35,0.32,2.4,0.048,35,103,0.9911,3.28,0.46,12,8
10,0.91,0.42,1.6,0.056,34,181,0.9968,3.11,0.46,10,4
6.9,0.23,0.38,8.3,0.047,47,162,0.9954,3.34,0.52,10.5,7
5.8,0.17,0.34,1.8,0.045,96,170,0.99035,3.38,0.9,11.8,8
7.3,0.39,0.37,1.1,0.043,36,113,0.991,3.39,0.48,12.7,8
6.8,0.29,0.5,13.3,0.053,48,194,0.9974,3.09,0.45,9.4,5
7.8,0.21,0.27,1.2,0.051,20,89,0.9936,3.06,0.46,9.1,5
6.9,0.15,0.28,4.4,0.029,14,107,0.99347,3.24,0.46,10.4,8
6.8,0.46,0.26,2.7,0.042,28,83,0.99114,3.38,0.51,12,8
5.8,0.21,0.32,1.6,0.045,38,95,0.98946,3.23,0.94,12.4,8
7.4,0.155,0.34,2.3,0.045,73.5,214,0.9934,3.18,0.61,9.9,7
7.2,0.55,0.09,1.5,0.108,16,151,0.9938,3.07,0.57,9.2,4
7,0.23,0.36,7.1,0.028,31,104,0.9922,3.35,0.47,12.1,8
6.9,0.2,0.37,6.2,0.027,24,97,0.992,3.38,0.49,12.2,7
6.2,0.38,0.18,7.4,0.095,28,195,0.99773,3.53,0.71,9.2,4
6.6,0.16,0.32,1.4,0.035,49,186,0.9906,3.35,0.64,12.4,8
8,0.13,0.25,1.1,0.033,15,86,0.99044,2.98,0.39,11.2,8
7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,8
6,0.25,0.28,2.2,0.026,54,126,0.9898,3.43,0.65,12.9,8
6.6,0.38,0.18,1.2,0.042,20,84,0.9927,3.22,0.45,10.1,4
7.4,0.17,0.4,5.5,0.037,34,161,0.9935,3.05,0.62,11.5,4
6.6,0.34,0.2,1,0.053,26,112,0.99336,3.32,0.55,9.1,5
5.8,0.28,0.27,2.6,0.054,30,156,0.9914,3.53,0.42,12.4,5
8.4,0.19,0.42,1.6,0.047,9,101,0.994,3.06,0.65,11.1,4
8.3,0.27,0.45,1.3,0.048,8,72,0.9944,3.08,0.61,10.3,4
6.4,0.28,0.29,1.6,0.052,34,127,0.9929,3.48,0.56,10.5,7
7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,4
7,0.28,0.26,1.7,0.042,34,130,0.9925,3.43,0.5,10.7,8
5.9,0.46,0.14,2.7,0.042,27,160,0.9931,3.46,0.51,10.6,7
6,0.27,0.27,1.6,0.046,32,113,0.9924,3.41,0.51,10.5,7
6.4,0.28,0.29,1.6,0.052,34,127,0.9929,3.48,0.56,10.5,7
8,0.44,0.49,9.1,0.031,46,151,0.9926,3.16,0.27,12.7,8
6.3,0.23,0.31,1.5,0.022,11,82,0.9892,3.3,0.4,12.9,7
7.1,0.21,0.27,8.6,0.056,26,111,0.9956,2.95,0.52,9.5,5
7.3,0.39,0.37,1.1,0.043,36,113,0.991,3.39,0.48,12.7,8
6.1,0.43,0.35,9.1,0.059,83,249,0.9971,3.37,0.5,8.5,5
7.1,0.21,0.27,8.6,0.056,26,111,0.9956,2.95,0.52,9.5,5
7,0.25,0.29,15.2,0.047,40,171,0.9982,3.22,0.45,9.3,5
6.6,0.29,0.31,3.9,0.027,39,96,0.99035,3.24,0.6,12.6,8
7.6,0.26,0.36,1.6,0.032,6,106,0.993,3.15,0.4,10.4,4
7.2,0.39,0.62,11,0.047,66,178,0.9976,3.16,0.5,8.7,5
6.3,0.21,0.58,10,0.081,34,126,0.9962,2.95,0.46,8.9,5
6.4,0.43,0.27,1.1,0.054,5,110,0.9939,3.24,0.52,9.1,4
7.5,0.28,0.34,4.2,0.028,36,116,0.991,2.99,0.41,12.3,8
7.2,0.39,0.62,11,0.047,66,178,0.9976,3.16,0.5,8.7,5
7.2,0.29,0.53,18.15,0.047,59,182,0.9992,3.09,0.52,9.6,5
8.2,0.37,0.36,1,0.034,17,93,0.9906,3.04,0.32,11.7,8
7.2,0.26,0.44,7.1,0.027,25,126,0.993,3.02,0.34,11.1,8
9.9,1.005,0.46,1.4,0.046,34,185,0.9966,3.02,0.49,10.2,4
7,0.17,0.31,4.8,0.034,34,132,0.9944,3.36,0.48,9.6,7
6.8,0.24,0.4,1.8,0.047,34,105,0.99,3.13,0.49,12.8,8
7,0.24,0.51,11,0.029,55,227,0.9965,3.03,0.61,9.5,5
7.4,0.28,0.36,1.1,0.028,42,105,0.9893,2.99,0.39,12.4,7
7,0.22,0.28,1.5,0.037,29,115,0.9927,3.11,0.55,10.5,6
7.1,0.55,0.13,1.7,0.073,21,165,0.994,2.97,0.58,9.2,6
8,0.45,0.36,8.8,0.026,50,151,0.9927,3.07,0.25,12.7,8
8.2,0.37,0.36,1,0.034,17,93,0.9906,3.04,0.32,11.7,8
7.3,0.17,0.24,8.1,0.121,32,162,0.99508,3.17,0.38,10.4,8
6.4,0.22,0.32,7.2,0.028,15,83,0.993,3.13,0.55,10.9,8
6.7,0.47,0.34,8.9,0.043,31,172,0.9964,3.22,0.6,9.2,5
6.2,0.37,0.3,6.6,0.346,79,200,0.9954,3.29,0.58,9.6,5
6.6,0.21,0.38,2.2,0.026,40,104,0.9914,3.25,0.4,11.1,8
8,0.23,0.37,9.6,0.054,23,159,0.99795,3.32,0.47,9.8,4
7,0.15,0.38,2.2,0.047,33,96,0.9928,3.13,0.39,10.4,8
6.1,0.31,0.37,8.4,0.031,70,170,0.9934,3.42,0.4,11.7,8
7.8,0.21,0.39,1.8,0.034,62,180,0.991,3.09,0.75,12.6,8
7.8,0.29,0.36,7,0.042,38,161,0.9941,3.26,0.37,11.2,8
7.1,0.23,0.39,1.6,0.032,12,65,0.9898,3.25,0.4,12.7,7
7.3,0.23,0.37,1.9,0.041,51,165,0.9908,3.26,0.4,12.2,8
5.2,0.24,0.45,3.8,0.027,21,128,0.992,3.55,0.49,11.2,8
6.8,0.2,0.38,4.7,0.04,27,103,0.994,3.37,0.58,10.7,6
5.3,0.24,0.33,1.3,0.033,25,97,0.9906,3.59,0.38,11,8
7.2,0.4,0.62,10.8,0.041,70,189,0.9976,3.08,0.49,8.6,4
7,0.24,0.32,1.3,0.037,39,123,0.992,3.17,0.42,11.2,8
5.7,0.335,0.34,1,0.04,13,174,0.992,3.27,0.66,10,5
5.6,0.21,0.4,1.3,0.041,81,147,0.9901,3.22,0.95,11.6,8
7,0.12,0.29,10.3,0.039,41,98,0.99564,3.19,0.38,9.8,8
4.9,0.33,0.31,1.2,0.016,39,150,0.98713,3.33,0.59,14,8
5.5,0.34,0.26,2.2,0.021,31,119,0.98919,3.55,0.49,13,8
6.5,0.35,0.36,0.8,0.034,32,111,0.98942,3.11,0.5,12.1,8
6.8,0.22,0.31,6.9,0.037,33,121,0.99176,3.02,0.39,11.9,8
7.1,0.47,0.29,14.8,0.024,22,142,0.99518,3.12,0.48,12,8
6.7,0.33,0.34,7.5,0.036,39,124,0.99123,2.99,0.32,12.4,8
6.5,0.26,0.31,3.6,0.03,36,92,0.99026,3.22,0.62,12.6,8
5.6,0.12,0.33,2.9,0.044,21,73,0.98896,3.17,0.32,12.9,8
7.5,0.28,0.41,1.3,0.044,11,126,0.99293,3.28,0.45,10.3,5
7.4,0.2,0.35,6.1,0.025,10,40,0.99244,2.79,0.52,10.9,5
